EQIPnumber,location,direct,YMD,hour,laneNumber,addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,00:00:00,3.0,745.0,865.7894,155.0,590.0,0.0,35.570175,2.9133332,109.57001
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,01:00:00,3.0,493.0,546.3158,52.0,441.0,0.0,35.694565,1.4433333,123.16333
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,02:00:00,3.0,316.0,330.5,29.0,287.0,0.0,35.749493,0.91,101.27667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,03:00:00,3.0,218.0,225.0,14.0,204.0,0.0,35.551193,0.5833333,105.24
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,04:00:00,3.0,155.0,162.0,14.0,141.0,0.0,35.30535,0.40333334,98.003334
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,05:00:00,3.0,166.0,175.0,18.0,148.0,0.0,35.85126,0.36666667,99.5
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,06:00:00,3.0,303.0,333.0,60.0,243.0,0.0,35.359306,1.0566667,118.006676
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,07:00:00,3.0,851.0,912.0,122.0,729.0,0.0,36.362125,3.0033333,101.80667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,08:00:00,3.0,2173.0,2407.5,469.0,1704.0,0.0,30.298504,24.12,63.88333
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,09:00:00,3.0,2098.0,2412.0,628.0,1470.0,0.0,27.59795,26.466667,59.679996
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,10:00:00,3.0,1988.0,2271.5,567.0,1421.0,0.0,28.821177,24.69,78.56333
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,11:00:00,3.0,1932.0,2136.0,408.0,1524.0,0.0,32.163715,16.533333,69.57333
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,12:00:00,3.0,2176.0,2461.5,571.0,1605.0,0.0,33.669456,16.996666,61.626667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,13:00:00,3.0,2066.0,2241.0,350.0,1716.0,0.0,33.120876,17.550001,66.15667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,14:00:00,3.0,2155.0,2326.5,343.0,1812.0,0.0,33.2583,19.140001,58.313335
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,15:00:00,3.0,2182.0,2430.0,496.0,1686.0,0.0,28.946705,26.81,60.24
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,16:00:00,3.0,2116.0,2336.5,441.0,1675.0,0.0,29.412117,24.056665,68.52334
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,17:00:00,3.0,2077.0,2365.9321,499.0,1578.0,0.0,28.451996,27.330002,66.15667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,18:00:00,3.0,2044.0,2341.0,594.0,1450.0,0.0,26.541115,30.306665,70.07667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,19:00:00,3.0,1827.0,2289.0,924.0,903.0,0.0,26.734657,18.236666,80.89
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,20:00:00,3.0,1778.0,2169.0,782.0,996.0,0.0,28.832014,18.586666,78.42333
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,21:00:00,3.0,1729.0,2065.5,673.0,1056.0,0.0,32.15786,13.423333,79.37
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,22:00:00,3.0,1781.0,2111.5,661.0,1120.0,0.0,32.40217,12.693334,81.56
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-03,23:00:00,3.0,1425.0,1683.0,516.0,909.0,0.0,32.34046,9.283334,81.35
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,00:00:00,3.0,1040.0,1182.0,284.0,756.0,0.0,34.867714,4.5499997,102.68667
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,01:00:00,3.0,724.0,784.5,121.0,603.0,0.0,35.64928,2.3966668,109.63999
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,02:00:00,3.0,481.0,516.0,70.0,411.0,0.0,36.034367,1.4900001,112.793335
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,03:00:00,3.0,355.0,379.0,48.0,307.0,0.0,36.46282,1.0699999,102.829994
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,04:00:00,3.0,277.0,296.0,38.0,239.0,0.0,36.46235,0.8066667,107.033325
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2017-03-04,05:00:00,3.0,297.0,319.5,45.0,252.0,0.0,36.032692,1.03,102.26666
